id,description,criteria,category,capability
Question19,"I have the skills to apply best practice techniques and technology solutions and adopt a continuous improvement mindset which includes optimising processes to remove waste, drive efficiency and add value for our customers (internal or external). ",I can define and communicate clear roles & responsibilities for my team.  \n I can lead the use of continuous improvement strategies including business processes and controls.  \n I can set ambitious targets for continuous improvement and monitor the metrics to measure performance.  \n I can drive the optimisation of processes and apply technology based solutions where cost/value determines it is best placed.  \n I can manage resource optimisation.,Business Focused,Continuous improvement
Question2,"I have the relevant knowledge of standard operating and/or accounting procedures and the skills to record, adjust and reconcile transactions and events",I can calculate and/or advise on complex and non-routine provisions and valuations.  \n I can review the accuracy and legitimacy of transactions and events.  \n I can define and maintain the chart of accounts   \n I can improve and harmonise complex processes and systems for account reconciliations.,Technically & Digitally Enabled,Transactional accounting and closing processes
Question20,I have the skills to build strong relationships and deliver a consistent and valued service that exceeds my customers' needs and expectations. ,"I can explain finance terminology and requirements, using non-technical language that my customers (internal or external) understand   \n I can manage relationships across and external to the organisation including those at a senior level.  \n I can listen effectively to others and have the skills to manage difficult conversations and resolve conflicts.  \n I can integrate best practice into our service offerings.  \n I can lead the interaction with auditors, statutory bodies, consultants and internal stakeholders as required.",Business Focused,Customer focus
Question21,"I have the skills to define, plan and implement projects adopting a structured approach to ensure it is achieved in a timely, cost-effective and quality controlled manner. ","I can develop project plans including business cases, contingencies and critical paths  \n I can lead projects and programs that have implications across Finance and the organisation more broadly.  \n I can evaluate and communicate the impact of project dependencies, risks and issues.  \n I can identify innovative ways to achieve the outputs of projects.",Business Focused,Project management
Question22,"I have the ability to apply problem solving techniques, and experiment with new ideas and technology required to drive step change improvements in the business, at pace",I can monitor issues and prioritise strategic problem solving.  \n I understand problem solving techniques and tools and can apply them skilfully.  \n I can develop and test hypothesis and encourage a culture of learning from failure.  \n I can identify lessons learned to continually improve problem solving approaches.,Business Focused,Problem solving
Question23,"I have the knowledge to deliver, navigate or lead lasting change and the skills to help colleagues understand and adopt the change, building resilience and adaptability.",I understand change management principles and how to prepare the audience for change.  \n I can consider the business priorities and cultural context when diagnosing the change environment.  \n I can identify potential sources of change resistance and anticipate concerns  \n I can communicate the case for change including costs and benefits to the business.  \n I can assess employee readiness for change and prepare change plans to support this.,Business Focused,Change management
Question24,"I have the ability to communicate effectively in the work environment in the language(s) I need to fulfil my role, whether this is English and/or another language, in both spoken and written word. ","I can express my ideas fluently in the language(s) relevant to my role.  \n I can understand the main ideas of complex text and speech, including technical discussions, in the language(s) relevant to my role.  \n I can use the language(s) relevant to my role flexibly and effectively for personal and professional purposes including understanding implicit meaning.  \n I can produce clear, well-structured, detailed text on complex subjects in the language(s) relevant to my role.",Business Focused,Multilingual
Question25,I constantly challenge our approach to create opportunity and a future focused strategy.,I can define the vision for my area by looking at the external context and future demands.  \n I continually look for information to challenge the status quo.  \n I can act as an advocate for transforming the business.  \n I can identify how to use technology and data for the business.,Leadership,Disrupts our model
Question26,I put customers at the heart of everything we do.,I can evaluate and understand the external market.  \n I know how to put the customer at the heart of decision making.  \n I am able to create new stakeholder relationships and partnerships.  \n I can use customer information and apply it to enhance or generate new solutions.,Leadership,Cares for our Customers
Question27,"I create a collaborative, engaged and high performing culture.",I can convey messages to others in a way that inspires and builds connections.  \n I can build the behaviours and values that create an inclusive and connected workforce.  \n I can anticipate the future talent needs of Brambles and can create high performing teams.  \n I can be an effective coach and mentor and can develop individuals to thrive in their roles.,Leadership,Inspires our People
Question28,I work with agility across boundaries to drive brilliant delivery.,I can identify the metrics needed to achieve success for the business.  \n I can create a sense of pace and urgency to achieve desired outcomes.  \n I am comfortable working with ambiguity and changing demands.  \n I can work across boundaries and have the skill to align across silos to streamline processes and share learnings.,Leadership,Delivers for Brambles
Question3,I have the skills required to create external financial reports for individual entities or groups using appropriate accounting and/or regulatory requirements.,"I can ensure the accuracy, completeness and compliance of financial statements.  \n I can identify compliance issues and recommend solutions.  \n I can implement best practice process changes   \n I can help create a corporate culture of compliance and shared accountability.",Technically & Digitally Enabled,Financial reporting and compliance
Question4,I have the skills to record costs and associated drivers and produce and analyse information to aid decision-making and the implementation of strategy.,"I can break down key business processes to allocate costs and can implement costing techniques.  \n I can analyse variances and movements and prepare reports to effectively understand key cost drivers.  \n I can recommend key performance indicators to monitor cost challenges.  \n I can identify cost drivers, support pricing decisions and lead cost reduction activities.",Technically & Digitally Enabled,Cost accounting & management
Question5,"I have the skills to build robust budgets and forecasts and can identify actions to close the gap between bottom-up projections and top-down requirements to help the business make good, strategic decisions and achieve its goals. ","I can lead planning processes i.e. setting targets, challenging submissions.  \n I can translate vision and strategy into financial targets.  \n I can work with the business to understand the relevant information to provide advice on modelling, planning and forecasting.  \n I can complete and review budget and forecast submissions.  \n I can communicate and interpret budgets and forecasts to drive action. ",Technically & Digitally Enabled,"Budgeting, forecasting & planning "
Question6,"I have the knowledge and skills to advise the business on making sound investment decisions by evaluating options based on alignment with strategy, affordability, returns and risk. ","I can apply my knowledge of business planning activities and commercial levers to evaluate business cases.  \n I can evaluate and appraise investment proposals including large, complex capital projects.  \n I can review the risks and identify interdependencies associated with different investment decisions.  \n I can question and challenge and ensure the integrity of investment decisions. ",Technically & Digitally Enabled,Decision support
Question7,"I have the skills and knowledge to interpret and connect business data so that it provides valuable insight about performance, risks and opportunities, that can be used to drive action.","I can review outputs of financial and operational analysis and identify priority areas of concern or opportunity.  \n I can apply common modelling tools and techniques to support commercial decisions.  \n I can create a story for monthly financial reporting and messages for action.  \n I can use financial and non-financial key performance indicators to provide strategic recommendations.  \n I can perform benchmarking of business trends and can use the data to assess future trends, opportunities and threats.",Technically & Digitally Enabled,Turning data into insight
Question8,"I have the knowledge and skills to interrogate, analyse, and report on data to help the business solve problems, drive improvement and innovation.",I can interrogate and analyse multiple data sets.  \n I can develop routine and management reports.  \n I can engage others in understanding the quality requirements of data being produced.  \n I can use statistical and practical methods and have knowledge of how algorithms can be made scalable.  \n I can use a range of different visualisation and sense-making techniques to present trends and inform decision making.  \n I can advise on and implement reporting technology.,Technically & Digitally Enabled,Data analytics
Question9,"I have the data modelling skills needed to take a systems wide approach to the planning, design, management and optimisation of data sources and flows to support my stakeholders in understanding the structure and meaning of enterprise data.",I can use my knowledge of ontologies to distinguish data concepts and their relationships.  \n I can use my knowledge of taxonomies to classify and organise large data sets.  \n I can relate external data models to internals ones to categorise and share data across the organisation.  \n I can advise on design and data modelling to facilitate better data sharing between systems.,Technically & Digitally Enabled,Data modelling
